файл	название	цена
catalog/tkani/mebelnye_tkani_/gobelen/gobelen_200_sm/188701.html	Ткань Гобелен "Каир" ш-200см пл.306 гр 100% пэ Россия 31021, м	1218
catalog/tkani/mebelnye_tkani_/gobelen/gobelen_200_sm/188702.html	Ткань Гобелен "Каникулы " Ш-200 см пл.360 гр 100% пэ Россия 310571, м	1218
catalog/tkani/mebelnye_tkani_/gobelen/gobelen_200_sm/188703.html	Ткань Гобелен "Каприфоль 2" Ш-200 см пл. 360 гр 100% пэ Россия 310492, м	1218
catalog/tkani/mebelnye_tkani_/gobelen/gobelen_200_sm/188704.html	Ткань Гобелен "Каприфоль" цв.1 Ш-200 см пл. 360 гр 100% пэ Россия 310491, м	1218
catalog/tkani/mebelnye_tkani_/gobelen/gobelen_200_sm/188705.html	Ткань Гобелен "Карта " Ш-200 см пл. 360 гр 100% пэ Россия 31059, м	1218
catalog/tkani/mebelnye_tkani_/gobelen/gobelen_200_sm/188706.html	Ткань Гобелен "Коллаж" цв.2 Ш-200 см пл.340 гр 100% пэ Россия 310352, м	1218
catalog/tkani/mebelnye_tkani_/gobelen/gobelen_200_sm/188707.html	Ткань Гобелен "Кочевник" цв.35 Ш-200 см пл.400 гр. 310835, м	837
catalog/tkani/mebelnye_tkani_/gobelen/gobelen_200_sm/188708.html	Ткань Гобелен "Краски лета " Ш-200 см пл.285 гр 100% пэ Россия 31060, м	1218
catalog/tkani/mebelnye_tkani_/gobelen/gobelen_200_sm/188709.html	Ткань Гобелен "Лимон" Ш-185 см пропитка МВО пл.280гр 100% пэ Россия 31018511, м	1218
catalog/tkani/mebelnye_tkani_/gobelen/gobelen_200_sm/188710.html	Ткань Гобелен "Луговая " цв.2 Ш-200 см пл.280 гр 100% пэ Россия 310612, м	1218
catalog/tkani/mebelnye_tkani_/gobelen/gobelen_200_sm/188711.html	Ткань Гобелен "Мартагон" цв.2 Ш-200 см пл.325гр 100% пэ Россия 310452, м	1218
catalog/tkani/mebelnye_tkani_/gobelen/gobelen_200_sm/188712.html	Ткань Гобелен "Мартагон" цв.4 Ш-200 см пл.325гр 100% пэ Россия 310451, м	1218
catalog/tkani/mebelnye_tkani_/gobelen/gobelen_200_sm/188713.html	Ткань Гобелен "Матрешка" цв.1 Ш-200 см пл.280гр 100% пэ Россия 310701, м	1218
catalog/tkani/mebelnye_tkani_/gobelen/gobelen_200_sm/188714.html	Ткань Гобелен "Мираж" Ш-200 см пл.320 гр 100% пэ Россия 310641, м	1218
catalog/tkani/mebelnye_tkani_/gobelen/gobelen_200_sm/188715.html	Ткань Гобелен "Народная" цв.1 Ш-200 см пл.280 гр 100% пэ Россия 310735, м	1218
catalog/tkani/mebelnye_tkani_/gobelen/gobelen_200_sm/188716.html	Ткань Гобелен "Народная" цв.2 Ш-200 см пл.280 гр 100% пэ Россия 310736, м	1218
